
x1 value: 18, x2 value: 18, min iterations: 0
x1 value: 18, x2 value: 19, min iterations: 20
x1 value: 18, x2 value: 20, min iterations: 26
x1 value: 19, x2 value: 0, min iterations: 49
x1 value: 19, x2 value: 1, min iterations: 49
x1 value: 19, x2 value: 2, min iterations: 48
x1 value: 19, x2 value: 3, min iterations: 48
x1 value: 19, x2 value: 4, min iterations: 48
x1 value: 19, x2 value: 5, min iterations: 48
x1 value: 19, x2 value: 6, min iterations: 47
x1 value: 19, x2 value: 7, min iterations: 41
x1 value: 19, x2 value: 8, min iterations: 41
x1 value: 19, x2 value: 9, min iterations: 41
x1 value: 19, x2 value: 10, min iterations: 40
x1 value: 19, x2 value: 11, min iterations: 40
x1 value: 19, x2 value: 12, min iterations: 40
x1 value: 19, x2 value: 13, min iterations: 34
x1 value: 19, x2 value: 14, min iterations: 33
x1 value: 19, x2 value: 15, min iterations: 33
x1 value: 19, x2 value: 16, min iterations: 27
x1 value: 19, x2 value: 17, min iterations: 27
x1 value: 19, x2 value: 18, min iterations: 20
x1 value: 19, x2 value: 19, min iterations: 0
x1 value: 19, x2 value: 20, min iterations: 20
x1 value: 20, x2 value: 0, min iterations: 49
x1 value: 20, x2 value: 1, min iterations: 48
x1 value: 20, x2 value: 2, min iterations: 48
x1 value: 20, x2 value: 3, min iterations: 48
x1 value: 20, x2 value: 4, min iterations: 48
x1 value: 20, x2 value: 5, min iterations: 47
x1 value: 20, x2 value: 6, min iterations: 47
x1 value: 20, x2 value: 7, min iterations: 47
x1 value: 20, x2 value: 8, min iterations: 41
x1 value: 20, x2 value: 9, min iterations: 40
x1 value: 20, x2 value: 10, min iterations: 40
x1 value: 20, x2 value: 11, min iterations: 40
x1 value: 20, x2 value: 12, min iterations: 40
x1 value: 20, x2 value: 13, min iterations: 39
x1 value: 20, x2 value: 14, min iterations: 33
x1 value: 20, x2 value: 15, min iterations: 33
x1 value: 20, x2 value: 16, min iterations: 33
x1 value: 20, x2 value: 17, min iterations: 26
x1 value: 20, x2 value: 18, min iterations: 26
x1 value: 20, x2 value: 19, min iterations: 20
x1 value: 20, x2 value: 20, min iterations: 0
